# run_id=0x2509059C,profile_id=0x1405,algorithm_id=0x0015,out_sha256=AEF6083F6E08BC65689F86F7F67FF6DCDB3D6409C8219F5C1FA7C1FAAF0A09AA
# data_checksum=0x6c75b0c2,count=480,overflow=0
# scope=supplemental_monotonic_16_level_map,scheduled_cr_not_independently_measured=true
bin,t_end_ms_nominal,t_end_target_ticks,scheduled_cr_ohm,raw_min,raw_max,raw_avg,vout_avg_v,cycle_sum,packet_sum,tick_delta,demand_index
168,16900,845000,15,1226,1262,1248,10.031763,6546,49,5000,21745
169,17000,850000,15,1230,1262,1251,10.056031,6556,49,5000,21745
170,17100,855004,15,1214,1262,1249,10.039852,6565,49,5004,21812
171,17200,860000,15,1218,1260,1243,9.991316,6549,49,4996,21745
172,17300,865035,15,1222,1263,1245,10.007495,6671,50,5035,22144
173,17400,870047,15,1218,1263,1243,9.991316,6562,49,5012,21812
174,17500,875063,15,1223,1261,1250,10.047941,6577,49,5016,21976
175,17600,880070,15,1221,1265,1249,10.039852,6564,49,5007,21812
176,17700,885000,15,1223,1263,1248,10.031763,6425,48,4930,21346
177,17800,890066,15,1229,1262,1250,10.047941,6685,50,5066,22211
178,17900,895054,15,1224,1263,1251,10.056031,6548,49,4988,21745
179,18000,900066,15,1229,1265,1250,10.047941,6561,49,5012,21812
180,18100,905051,14,1222,1262,1248,10.031763,6548,49,4985,21745
181,18200,910000,14,1225,1262,1248,10.031763,6444,48,4949,21574
182,18300,915029,14,1221,1263,1247,10.023673,6578,49,5029,21976
183,18400,920047,14,1222,1262,1247,10.023673,6572,49,5018,21976
184,18500,925056,14,1220,1263,1250,10.047941,6559,49,5009,21745
185,18600,930000,14,1224,1263,1247,10.023673,6433,48,4944,21507
186,18700,935000,14,1225,1263,1249,10.039852,6581,49,5000,22043
187,18800,940000,14,1225,1261,1248,10.031763,6546,49,5000,21745
188,18900,945038,14,1226,1261,1248,10.031763,6677,50,5038,22144
189,19000,950000,14,1231,1262,1246,10.015584,6529,49,4962,21679
190,19100,955042,14,1228,1262,1248,10.031763,6579,49,5042,21976
191,19200,960061,14,1228,1263,1247,10.023673,6571,49,5019,21976
192,19300,965045,14,1217,1263,1250,10.047941,6560,49,4984,21812
193,19400,970024,14,1225,1263,1247,10.023673,6543,49,4979,21745
194,19500,975000,14,1223,1263,1248,10.031763,6543,49,4976,21745
195,19600,980041,14,1223,1262,1248,10.031763,6675,50,5041,22144
196,19700,985066,14,1217,1261,1248,10.031763,6563,49,5025,21812
197,19800,990011,14,1223,1261,1248,10.031763,6439,48,4945,21507
198,19900,995030,14,1226,1262,1250,10.047941,6570,49,5019,21976
199,20000,1000018,14,1226,1263,1250,10.047941,6550,49,4988,21745
200,20100,1005020,14,1222,1263,1245,10.007495,6566,49,5002,21976
201,20200,1010000,14,1234,1262,1250,10.047941,6542,49,4980,21745
202,20300,1015000,14,1225,1264,1247,10.023673,6556,49,5000,21745
203,20400,1020061,14,1226,1262,1246,10.015584,6682,50,5061,22211
204,20500,1025034,14,1221,1260,1245,10.007495,6548,49,4973,21745
205,20600,1030034,14,1223,1262,1247,10.023673,6560,49,5000,21812
206,20700,1035022,14,1234,1263,1250,10.047941,6556,49,4988,21745
207,20800,1040066,14,1221,1260,1247,10.023673,6590,49,5044,22043
208,20900,1045000,14,1224,1263,1248,10.031763,6426,48,4934,21346
209,21000,1050054,14,1221,1264,1248,10.031763,6585,49,5054,22043
210,21100,1055050,13,1222,1264,1247,10.023673,6554,49,4996,21745
211,21200,1060008,13,1233,1261,1251,10.056031,6545,49,4958,21745
212,21300,1065027,13,1216,1263,1246,10.015584,6571,49,5019,21976
213,21400,1070055,13,1222,1263,1249,10.039852,6567,49,5028,21976
214,21500,1075045,13,1231,1262,1249,10.039852,6557,49,4990,21745
215,21600,1080048,13,1224,1263,1248,10.031763,6559,49,5003,21745
216,21700,1085024,13,1223,1258,1249,10.039852,6540,49,4976,21745
217,21800,1090059,13,1228,1263,1248,10.031763,6573,49,5035,21976
218,21900,1095004,13,1226,1263,1246,10.015584,6537,49,4945,21679
219,22000,1100000,13,1216,1262,1248,10.031763,6465,48,4996,21641
220,22100,1105042,13,1227,1264,1250,10.047941,6667,50,5042,22144
221,22200,1110026,13,1236,1263,1251,10.056031,6543,49,4984,21745
222,22300,1115070,13,1214,1263,1248,10.031763,6581,49,5044,22043
223,22400,1120054,13,1228,1262,1246,10.015584,6546,49,4984,21745
224,22500,1125006,13,1221,1260,1247,10.023673,6454,48,4952,21574
225,22600,1130000,13,1222,1264,1245,10.007495,6543,49,4994,21745
226,22700,1135000,13,1229,1263,1249,10.039852,6561,49,5000,21812
227,22800,1140059,13,1224,1262,1248,10.031763,6672,50,5059,22144
228,22900,1145042,13,1221,1261,1248,10.031763,6550,49,4983,21745
229,23000,1150000,13,1224,1264,1248,10.031763,6537,49,4958,21679
230,23100,1155000,13,1225,1263,1248,10.031763,6553,49,5000,21745
231,23200,1160000,13,1225,1264,1248,10.031763,6559,49,5000,21745
232,23300,1165000,13,1223,1262,1250,10.047941,6543,49,5000,21745
233,23400,1170000,13,1226,1263,1246,10.015584,6556,49,5000,21745
234,23500,1175000,13,1228,1264,1250,10.047941,6467,48,5000,21641
235,23600,1180000,13,1213,1263,1248,10.031763,6556,49,5000,21745
