Vin,Pout,freq_hz,gain_M,vout,I_p_rms,I_s_rms,I_diode_avg,I_diode_rms,Q
30.0,5.0,50000.0,0.9992976256531028,11.291571507837233,5.0351607055221566,6.2939508819026955,0.2214040798718588,0.49183620445066684,0.029102253337617522
30.0,5.0,60000.0,0.9429491247001008,10.61538949640121,3.978132277071877,4.972665346339847,0.2355071380892374,0.5231653228155896,0.029102253337617522
30.0,5.0,70000.0,0.9118631574988283,10.24235788998594,3.3157073005229605,4.144634125653701,0.24408442146356515,0.5422192557953647,0.029102253337617522
30.0,5.0,80000.0,0.8926851978557783,10.01222237426934,2.858197368983644,3.5727467112295552,0.24969481365344146,0.5546824136637538,0.029102253337617522
30.0,5.0,100000.0,0.870939981370632,9.751279776447584,2.264168806914892,2.830211008643615,0.25637660464201717,0.5695256212534955,0.029102253337617522
30.0,5.0,120000.0,0.8593091886622376,9.611710263946852,1.8945464840325401,2.368183105040675,0.2600993924439651,0.5777955764573248,0.029102253337617522
30.0,5.0,140000.0,0.8521825483489736,9.526190580187682,1.6429014622822193,2.0536268278527743,0.26243438853715917,0.5829826336088839,0.029102253337617522
30.0,5.0,150000.0,0.8495606022885824,9.49472722746299,1.5452505013386642,1.9315631266733302,0.2633040360305332,0.5849145046141457,0.029102253337617522
30.0,5.0,170000.0,0.8454577752781953,9.445493303338345,1.3884867848010014,1.7356084810012518,0.2646764885341053,0.5879633275199224,0.029102253337617522
30.0,5.0,200000.0,0.8410070702365546,9.392084842838656,1.21897377713571,1.5237172214196377,0.26618158181420365,0.5913068041471653,0.029102253337617522
30.0,5.0,250000.0,0.8356842274364715,9.328210729237659,1.0377026955207216,1.297128369400902,0.2680042371002816,0.5953557261834952,0.029102253337617522
30.0,10.0,35000.0,1.2526487601353928,14.331785121624714,9.10973670734645,11.387170884183062,0.34887489294377433,0.7750051547058607,0.058204506675235045
30.0,10.0,40000.0,1.1222128703468348,12.766554444162018,7.186197062904832,8.982746328631041,0.3916483513127096,0.8700238889025456,0.058204506675235045
30.0,10.0,45000.0,1.047214271713231,11.866571260558771,6.00302637158226,7.503782964477825,0.42135170220724405,0.9360081443502747,0.058204506675235045
30.0,10.0,50000.0,0.9992976093305123,11.291571311966148,5.195716178536348,6.494645223170435,0.44280816742496165,0.9836724259647677,0.058204506675235045
30.0,10.0,60000.0,0.9428030914786545,10.613637097743855,4.157256330231043,5.1965704127888035,0.47109204450403264,1.046503403414554,0.058204506675235045
30.0,10.0,70000.0,0.9114055575782726,10.236866690939273,3.5141520468319007,4.392690058539876,0.4884307035497041,1.0850202196368335,0.058204506675235045
30.0,10.0,80000.0,0.8918202945414428,10.001843534497315,3.0759969578274395,3.844996197284299,0.4999078402650993,1.1105160070827036,0.058204506675235045
30.0,10.0,100000.0,0.8690464680783777,9.728557616940535,2.5192293696222574,3.1490367120278218,0.5139508030762339,1.1417116270200947,0.058204506675235045
30.0,10.0,120000.0,0.8561397086786056,9.573676504143267,2.1837063583932554,2.7296329479915693,0.5222654011586996,1.1601820199992103,0.058204506675235045
30.0,10.0,140000.0,0.8475077110456684,9.470092532548021,1.9624216693093426,2.4530270866366783,0.5279779456024704,1.1728721031205607,0.058204506675235045
30.0,10.0,150000.0,0.844050357523833,9.428604290285996,1.8785128811336398,2.34814110141705,0.530301182026628,1.1780330368556597,0.058204506675235045
30.0,10.0,170000.0,0.8381167296363803,9.357400755636563,1.7464330146780198,2.183041268347525,0.5343364178335719,1.186997077014718,0.058204506675235045
30.0,10.0,200000.0,0.8305357556448091,9.266429067737711,1.6074154162069858,2.0092692702587325,0.5395821803037544,1.1986502313029208,0.058204506675235045
30.0,10.0,250000.0,0.819045566121344,9.12854679345613,1.4621403562611874,1.8276754453264843,0.5477323075765235,1.2167552620049231,0.058204506675235045
30.0,25.0,35000.0,1.2435670358233217,14.222804429879861,9.97973484609472,12.4746685576184,0.8788702721482605,1.9523588684910531,0.14551126668808761
