case,f_khz,Lr_uH,Lm_uH,Vin,Cout_uF,Vf,ic_vcr,ic_ilm,ic_ilr,peak_half_A,peak_cycle_A,cross_dac300,cross_dac320
corner_Lr3.350_Lm17.25_Vin24.2_f150k,150.0,3.35,17.25,24.2,940.0,0.7,0.0,0.0,0.0,25.358905825605973,32.429581307190965,True,True
corner_Lr3.350_Lm17.25_Vin24.2_f200k,200.0,3.35,17.25,24.2,940.0,0.7,0.0,0.0,0.0,16.99524203197223,17.644328542126548,True,True
corner_Lr3.350_Lm17.60_Vin23.8_f150k,150.0,3.35,17.6,23.8,940.0,0.7,0.0,0.0,0.0,24.92260815079902,31.839112622179393,True,True
corner_Lr3.350_Lm17.60_Vin23.8_f200k,200.0,3.35,17.6,23.8,940.0,0.7,0.0,0.0,0.0,16.702622707150592,17.339120866612717,True,True
corner_Lr3.350_Lm17.60_Vin24.0_f150k,150.0,3.35,17.6,24.0,940.0,0.7,0.0,0.0,0.0,25.124384859604824,32.13448303983838,True,True
corner_Lr3.350_Lm17.60_Vin24.0_f200k,200.0,3.35,17.6,24.0,940.0,0.7,0.0,0.0,0.0,16.849354383679543,17.49170361296416,True,True
corner_Lr3.350_Lm17.60_Vin24.2_f150k,150.0,3.35,17.6,24.2,940.0,0.7,0.0,0.0,0.0,25.34130089193126,32.429793047134616,True,True
corner_Lr3.350_Lm17.60_Vin24.2_f200k,200.0,3.35,17.6,24.2,940.0,0.7,0.0,0.0,0.0,16.995333166742142,17.64431514827591,True,True
corner_Lr3.385_Lm16.90_Vin23.8_f150k,150.0,3.3850000000000002,16.900000000000002,23.8,940.0,0.7,0.0,0.0,0.0,24.611635590443573,31.10847739482663,True,True
corner_Lr3.385_Lm16.90_Vin23.8_f200k,200.0,3.3850000000000002,16.900000000000002,23.8,940.0,0.7,0.0,0.0,0.0,16.509165950678923,17.133999442542468,True,True
corner_Lr3.385_Lm16.90_Vin24.0_f150k,150.0,3.3850000000000002,16.900000000000002,24.0,940.0,0.7,0.0,0.0,0.0,24.820764753679548,31.39729994238406,True,True
corner_Lr3.385_Lm16.90_Vin24.0_f200k,200.0,3.3850000000000002,16.900000000000002,24.0,940.0,0.7,0.0,0.0,0.0,16.655451456346025,17.28481309656101,True,True
corner_Lr3.385_Lm16.90_Vin24.2_f150k,150.0,3.3850000000000002,16.900000000000002,24.2,940.0,0.7,0.0,0.0,0.0,25.050117951930428,31.68535089544606,True,True
corner_Lr3.385_Lm16.90_Vin24.2_f200k,200.0,3.3850000000000002,16.900000000000002,24.2,940.0,0.7,0.0,0.0,0.0,16.80112611611395,17.435609224074856,True,True
corner_Lr3.385_Lm17.25_Vin23.8_f150k,150.0,3.3850000000000002,17.25,23.8,940.0,0.7,0.0,0.0,0.0,24.619144132986726,31.10828380814376,True,True
corner_Lr3.385_Lm17.25_Vin23.8_f200k,200.0,3.3850000000000002,17.25,23.8,940.0,0.7,0.0,0.0,0.0,16.507756170118057,17.13405033257009,True,True
corner_Lr3.385_Lm17.25_Vin24.0_f150k,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.0,0.0,24.834814737870413,31.397030231315174,True,True
corner_Lr3.385_Lm17.25_Vin24.0_f200k,200.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.0,0.0,16.656541265392953,17.284868102622497,True,True
corner_Lr3.385_Lm17.25_Vin24.2_f150k,150.0,3.3850000000000002,17.25,24.2,940.0,0.7,0.0,0.0,0.0,25.035325861494506,31.685280097681545,True,True
corner_Lr3.385_Lm17.25_Vin24.2_f200k,200.0,3.3850000000000002,17.25,24.2,940.0,0.7,0.0,0.0,0.0,16.797032462734933,17.43562716433382,True,True
corner_Lr3.385_Lm17.60_Vin23.8_f150k,150.0,3.3850000000000002,17.6,23.8,940.0,0.7,0.0,0.0,0.0,24.603481172426328,31.108040293778142,True,True
corner_Lr3.385_Lm17.60_Vin23.8_f200k,200.0,3.3850000000000002,17.6,23.8,940.0,0.7,0.0,0.0,0.0,16.51210703447449,17.13395447500741,True,True
corner_Lr3.385_Lm17.60_Vin24.0_f150k,150.0,3.3850000000000002,17.6,24.0,940.0,0.7,0.0,0.0,0.0,24.817776384089356,31.396541343154315,True,True
corner_Lr3.385_Lm17.60_Vin24.0_f200k,200.0,3.3850000000000002,17.6,24.0,940.0,0.7,0.0,0.0,0.0,16.656408189004978,17.2847229604174,True,True
corner_Lr3.385_Lm17.60_Vin24.2_f150k,150.0,3.3850000000000002,17.6,24.2,940.0,0.7,0.0,0.0,0.0,25.036132613550834,31.685307635817377,True,True
corner_Lr3.385_Lm17.60_Vin24.2_f200k,200.0,3.3850000000000002,17.6,24.2,940.0,0.7,0.0,0.0,0.0,16.79431007356793,17.435615027613984,True,True
corner_Lr3.420_Lm16.90_Vin23.8_f150k,150.0,3.42,16.900000000000002,23.8,940.0,0.7,0.0,0.0,0.0,24.309620410224156,30.4018748249157,True,True
corner_Lr3.420_Lm16.90_Vin23.8_f200k,200.0,3.42,16.900000000000002,23.8,940.0,0.7,0.0,0.0,0.0,16.324207292239706,16.933599780923863,True,True
corner_Lr3.420_Lm16.90_Vin24.0_f150k,150.0,3.42,16.900000000000002,24.0,940.0,0.7,0.0,0.0,0.0,24.535929040614082,30.68429086316234,True,True
corner_Lr3.420_Lm16.90_Vin24.0_f200k,200.0,3.42,16.900000000000002,24.0,940.0,0.7,0.0,0.0,0.0,16.46820206072196,17.082609500240494,True,True
corner_Lr3.420_Lm16.90_Vin24.2_f150k,150.0,3.42,16.900000000000002,24.2,940.0,0.7,0.0,0.0,0.0,24.749012235560276,30.96627014543661,True,True
corner_Lr3.420_Lm16.90_Vin24.2_f200k,200.0,3.42,16.900000000000002,24.2,940.0,0.7,0.0,0.0,0.0,16.61125697339983,17.23170234235697,True,True
corner_Lr3.420_Lm17.25_Vin23.8_f150k,150.0,3.42,17.25,23.8,940.0,0.7,0.0,0.0,0.0,24.323218456676642,30.40228483288143,True,True
corner_Lr3.420_Lm17.25_Vin23.8_f200k,200.0,3.42,17.25,23.8,940.0,0.7,0.0,0.0,0.0,16.325253526186913,16.933634118586728,True,True
corner_Lr3.420_Lm17.25_Vin24.0_f150k,150.0,3.42,17.25,24.0,940.0,0.7,0.0,0.0,0.0,24.52048443814931,30.684347084644827,True,True
corner_Lr3.420_Lm17.25_Vin24.0_f200k,200.0,3.42,17.25,24.0,940.0,0.7,0.0,0.0,0.0,16.468657356937747,17.082662771583703,True,True
corner_Lr3.420_Lm17.25_Vin24.2_f150k,150.0,3.42,17.25,24.2,940.0,0.7,0.0,0.0,0.0,24.732174746639302,30.96646230129128,True,True
corner_Lr3.420_Lm17.25_Vin24.2_f200k,200.0,3.42,17.25,24.2,940.0,0.7,0.0,0.0,0.0,16.61134356762053,17.23168831662909,True,True
corner_Lr3.420_Lm17.60_Vin23.8_f150k,150.0,3.42,17.6,23.8,940.0,0.7,0.0,0.0,0.0,24.306726958009353,30.401986864209945,True,True
corner_Lr3.420_Lm17.60_Vin23.8_f200k,200.0,3.42,17.6,23.8,940.0,0.7,0.0,0.0,0.0,16.325119882885996,16.933535538329654,True,True
corner_Lr3.420_Lm17.60_Vin24.0_f150k,150.0,3.42,17.6,24.0,940.0,0.7,0.0,0.0,0.0,24.522381025892138,30.684368041422257,True,True
corner_Lr3.420_Lm17.60_Vin24.0_f200k,200.0,3.42,17.6,24.0,940.0,0.7,0.0,0.0,0.0,16.470151468895033,17.082656844718198,True,True
corner_Lr3.420_Lm17.60_Vin24.2_f150k,150.0,3.42,17.6,24.2,940.0,0.7,0.0,0.0,0.0,24.748838734069434,30.966321643858336,True,True
corner_Lr3.420_Lm17.60_Vin24.2_f200k,200.0,3.42,17.6,24.2,940.0,0.7,0.0,0.0,0.0,16.607343106840624,17.231756180312633,True,True
